nom_long,objectid
SAINT-REMY-LES-CHEVREUSE,76
COURCELLE-SUR-YVETTE,277
GIF-SUR-YVETTE,27
LA HACQUINIERE,49
BURES-SUR-YVETTE,28
ORSAY-VILLE,77
LE GUICHET,33
LOZERE,32
PALAISEAU-VILLEBON,29
PALAISEAU,30
MASSY-PALAISEAU,31
MASSY-VERRIERES,988
ROBINSON,34
LES BACONNETS,877
FONTENAY-AUX-ROSES,13
FONTAINE-MICHALON,878
SCEAUX,12
ANTONY,985
LA CROIX-DE-BERNY-FRESNES,987
PARC-DE-SCEAUX,986
BOURG-LA-REINE,348
BAGNEUX,1133
ARCUEIL-CACHAN,530
DENFERT-ROCHEREAU,1138
LAPLACE,1136
PORT ROYAL,1135
CITE UNIVERSITAIRE,1139
LUXEMBOURG,1137
GENTILLY,1140
SAINT-MICHEL,1134
CHATELET-LES HALLES,747
GARE DU NORD,1380
LA PLAINE-STADE DE FRANCE,1381
LA COURNEUVE-AUBERVILLIERS,1430
LE BOURGET,1429
DRANCY,1431
BLANC-MESNIL,1432
AULNAY-SOUS-BOIS,1433
VILLEPINTE,392
PARC DES EXPOSITIONS,235
SEVRAN-BEAUDOTTES,237
SEVRAN-LIVRY,238
AEROPORT CHARLES DE GAULLE 1,236
VERT-GALANT,393
AEROPORT CHARLES DE GAULLE 2-TGV,239
VILLEPARISIS-MITRY-LE-NEUF,394
MITRY-CLAYE,395
