codeinsee,LIBGEO,REG,DEP,P16_POP,P11_POP,SUPERF,NAIS1116,DECE1116,P16_MEN,NAISD18,DECESD18,P16_LOG,P16_RP,P16_RSECOCC,P16_LOGVAC,P16_RP_PROP,NBMENFISC16,PIMP16,MED16,TP6016,P16_EMPLT,P16_EMPLT_SAL,P11_EMPLT,P16_POP1564,P16_CHOM1564,P16_ACT1564,ETTOT15,ETAZ15,ETBE15,ETFZ15,ETGU15,ETGZ15,ETOQ15,ETTEF115,ETTEFP1015,Geo Shape,geo_point_2d
93005,Aulnay-sous-Bois,11,93,84662.0,81880.0,16.2,6838.0,2203.0,29119.0732722,1367.0,512.0,30978.8588561,29119.0732722,129.42972904799998,1730.35585481,14020.279410799998,28287.0,47.0,17210.6060606,27.0,26264.905998,23792.2018629,30061.9126395,53682.225092,7405.15633129,37858.3599888,5792.0,6.0,209.0,933.0,3958.0,1235.0,686.0,1452.0,435.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.4960054328, 48.9727191832], [2.496958077, 48.9719543291], [2.504787639, 48.9657875105], [2.5088210796, 48.9640199881], [2.5139302507, 48.9599312284], [2.5139935627, 48.9598784291], [2.5189123032, 48.955621411], [2.5223060091, 48.9523050305], [2.5236305417, 48.9509551172], [2.5241446815, 48.9505740744], [2.5217051104, 48.9497937005], [2.5175358844, 48.9481142599], [2.511879687, 48.9440114004], [2.5099651262, 48.9426205166], [2.5084580475, 48.9407357744], [2.5083892706, 48.9406464647], [2.5071132364, 48.9355675349], [2.5085708677, 48.9338514103], [2.5129162459, 48.9304141309], [2.5175599669, 48.925795333], [2.5175598529, 48.9256604403], [2.5174193223, 48.9246266], [2.5120680195, 48.9192784668], [2.5072938795, 48.9186564069], [2.5068845088, 48.9186574206], [2.4982227225, 48.9176358375], [2.4917295706, 48.9168800427], [2.4913212764, 48.9173306527], [2.4882230202, 48.9185252042], [2.4848298214, 48.9184845827], [2.481984064, 48.9185550472], [2.4810297914, 48.9186012778], [2.479120341, 48.9187836411], [2.4791909112, 48.9193675867], [2.4793970138, 48.9197713638], [2.479805502, 48.9199961616], [2.481072627, 48.9234738032], [2.4813185621, 48.9246763128], [2.4829816063, 48.9339308017], [2.4822638159, 48.9377541189], [2.4795278668, 48.9427062494], [2.478848096, 48.9435153362], [2.4774006184, 48.9445036256], [2.4712878006, 48.9480675949], [2.4601322219, 48.9547371769], [2.4594885661, 48.9550490183], [2.4600643281, 48.9560156197], [2.4631987615, 48.9599297759], [2.4661947504, 48.9632739903], [2.4673269472, 48.9643383446], [2.4746814946, 48.9674435258], [2.4797993453, 48.9686600357], [2.4882881245, 48.9711568922], [2.4927341392, 48.9745209638], [2.4930751549, 48.9744306828], [2.4958010902, 48.9729440344], [2.4960054328, 48.9727191832]]]}","48.946227127,2.49329631846"
93013,Le Bourget,11,93,16484.0,14978.0,2.08,1695.0,449.0,6366.48729159,323.0,94.0,6973.53462332,6366.48729159,92.2670441142,514.78028762,2585.30959782,5747.0,46.0,16324.666666699999,31.0,8472.46387145,7955.66716173,7484.79028987,10708.0252187,1557.7567439000002,8243.03771673,1383.0,0.0,43.0,246.0,977.0,269.0,117.0,360.0,121.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.4422437738, 48.9372175549], [2.4429928395, 48.9362291353], [2.4447613956, 48.93384526], [2.4444853055, 48.9328574703], [2.4444176189, 48.9326773004], [2.4388255143, 48.9326827208], [2.4350731463, 48.9323260625], [2.4262585934, 48.9308408387], [2.4228487797, 48.9302597152], [2.4225063328, 48.9301249714], [2.4223017396, 48.9299899918], [2.4220286669, 48.9296307597], [2.4203237448, 48.9294075957], [2.4199820346, 48.9294527052], [2.4161173864, 48.9303763889], [2.4123496955, 48.9326124787], [2.4124174398, 48.9326568757], [2.4152859708, 48.935739255], [2.4168149679, 48.9394957982], [2.4173391508, 48.9396188506], [2.4175439144, 48.9396189465], [2.4182190388, 48.9391842773], [2.4201758303, 48.9396182179], [2.4226463621, 48.940259637], [2.4265859242, 48.9426265547], [2.4283443199, 48.9439883595], [2.4295035667, 48.9450918933], [2.4303248413, 48.9462684484], [2.4306656687, 48.9463132326], [2.432506771, 48.9459973257], [2.4350287382, 48.9450874854], [2.4349610586, 48.9449082115], [2.434550031, 48.9444143718], [2.43420903, 48.944009889], [2.4320215213, 48.9416749228], [2.4310640494, 48.9405975473], [2.4306526186, 48.9390245588], [2.4307196152, 48.9388899855], [2.4384903991, 48.9357836668], [2.4387625237, 48.9357381789], [2.4412194376, 48.9366345484], [2.4422437738, 48.9372175549]]]}","48.9360708295,2.4270973691"
91477,Palaiseau,11,91,34120.0,30316.0,11.51,2288.0,845.0,14698.5964291,513.0,173.0,16403.0535395,14698.5964291,402.596932331,1301.86017802,7602.41364413,13884.0,72.0,26365.5555556,8.0,14723.723665700001,13489.40624,12736.5065567,23500.7393213,1457.02828294,17176.717328900002,2482.0,3.0,87.0,222.0,1791.0,383.0,379.0,537.0,161.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.2034622767, 48.7210458861], [2.2037341257, 48.7213157434], [2.2065087647, 48.7250715302], [2.2097093686, 48.727299165], [2.2126269192, 48.7287495007], [2.2128995246, 48.7287944732], [2.2135806281, 48.7281666376], [2.2133773409, 48.7275815436], [2.2185539687, 48.7266270348], [2.2244540699, 48.7259207612], [2.2352520555, 48.7275573097], [2.2354559869, 48.7275577168], [2.2355232583, 48.7275131744], [2.2404293882, 48.7271802153], [2.2475000831, 48.7268328387], [2.249810169, 48.7264408235], [2.2507554777, 48.7262218955], [2.2575533564, 48.7233411165], [2.261020753, 48.7213658219], [2.2661318269, 48.7185829275], [2.2668375419, 48.7182769487], [2.2655935352, 48.7153909943], [2.2632059311, 48.7126481747], [2.2613745919, 48.7114342547], [2.2606953978, 48.7111188297], [2.2590216335, 48.710397861], [2.2588097455, 48.7080884875], [2.2592770086, 48.706668415], [2.2593447859, 48.70648894], [2.255406357, 48.7064860117], [2.2549980812, 48.7066210832], [2.2427457225, 48.7046028611], [2.2269115408, 48.7017066006], [2.2222980616, 48.70197884], [2.2186162082, 48.7021058934], [2.2173265281, 48.7021100316], [2.2131672785, 48.701901873], [2.2114020813, 48.7018092629], [2.2099086461, 48.7017184269], [2.209705497, 48.7015830575], [2.2084145452, 48.7017615914], [2.203906895, 48.7044462479], [2.1934544022, 48.7102038048], [2.1924771791, 48.7144256588], [2.1934850571, 48.7186969029], [2.1949789882, 48.7186089476], [2.1957259841, 48.7184745658], [2.1985104932, 48.7187928263], [2.2012263715, 48.7192454835], [2.2029227422, 48.7199665123], [2.2032605267, 48.7201909382], [2.2034622767, 48.7210458861]]]}","48.7148263602,2.22875253898"
93027,La Courneuve,11,93,42485.0,38789.0,7.52,4126.0,912.0,14918.276955399999,787.0,208.0,15745.592758899998,14918.276955399999,119.111497071,708.2043064210001,3839.89253335,13703.0,30.0,13399.3333333,43.0,13181.9929048,12007.138154799999,13259.4443302,28351.36052,5160.76188573,19873.9310853,3175.0,0.0,160.0,493.0,2273.0,862.0,249.0,859.0,214.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.4044483489, 48.9513188895], [2.4048569696, 48.9510484402], [2.4172053465, 48.9413268254], [2.4177482536, 48.9400228154], [2.4177480399, 48.9397979951], [2.4175439144, 48.9396189465], [2.4173391508, 48.9396188506], [2.4168149679, 48.9394957982], [2.4152859708, 48.935739255], [2.4124174398, 48.9326568757], [2.4123496955, 48.9326124787], [2.4161173864, 48.9303763889], [2.4199820346, 48.9294527052], [2.4203237448, 48.9294075957], [2.4220286669, 48.9296307597], [2.4219596875, 48.9294514693], [2.4184746121, 48.9248707245], [2.4145135511, 48.9202002996], [2.4134884567, 48.9192573224], [2.4128740112, 48.9188082628], [2.4112366176, 48.9175960711], [2.4100624941, 48.9166892005], [2.4093818703, 48.9171471863], [2.4087678415, 48.9175074735], [2.4075419873, 48.9179123963], [2.4080190665, 48.9183167397], [2.4080199195, 48.9183617087], [2.4024311499, 48.9210606269], [2.4020911748, 48.9211956235], [2.3995016552, 48.9220963558], [2.3931606582, 48.9220545167], [2.3769861093, 48.9224652203], [2.3750097011, 48.9236339029], [2.3747362196, 48.9236792394], [2.3746688413, 48.923948676], [2.3754222344, 48.9282620129], [2.3771977282, 48.931236209], [2.3776067423, 48.9317302441], [2.3842619189, 48.9366936007], [2.3952311067, 48.9448078823], [2.3961188817, 48.9454814179], [2.3982353671, 48.9474578721], [2.3984409524, 48.9478617777], [2.3985093448, 48.9480869389], [2.3986456851, 48.9482216143], [2.3987144149, 48.9485358048], [2.3993288967, 48.9491198143], [2.400421602, 48.9497934421], [2.4041749275, 48.9512294027], [2.4044483489, 48.9513188895]]]}","48.9325906584,2.39961210079"
95527,Roissy-en-France,11,95,2899.0,2869.0,14.09,196.0,45.0,1308.0,38.0,11.0,1457.0,1308.0,75.0,74.0,413.0,1016.0,71.0,24476.6666667,,73325.2819898,71511.8972513,86990.3605128,2172.0,182.0,1847.0,1008.0,4.0,36.0,43.0,877.0,213.0,48.0,317.0,272.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.4985680844, 49.0241087299], [2.498636013, 49.0241539735], [2.5027639896, 49.0255747884], [2.5088449537, 49.0275591659], [2.516596564, 49.0274305659], [2.5255793103, 49.0269448599], [2.5289949322, 49.0268045443], [2.5293362281, 49.0267141647], [2.5290556519, 49.0247833903], [2.5291227757, 49.0244680355], [2.5308982325, 49.024241194], [2.5350135962, 49.023809402], [2.5347315322, 49.021717674], [2.5346806292, 49.019921775], [2.5378177402, 49.0166095444], [2.545220911, 49.0145471698], [2.54843158, 49.0147661071], [2.5490471496, 49.0147207633], [2.5532701787, 49.0118375164], [2.5530565519, 49.009816203], [2.5530841608, 49.0067661883], [2.5477767708, 49.0048732511], [2.5432207432, 49.0052399619], [2.5394380764, 49.0056283534], [2.5354933007, 49.006560921], [2.5342855927, 49.0061911609], [2.5322372194, 49.0052237354], [2.5276657685, 49.0000551246], [2.5243742031, 48.9962411227], [2.5183558101, 48.9894603436], [2.5147638796, 48.9822556213], [2.5105094352, 48.9806682736], [2.5090261731, 48.980192811], [2.5058032657, 48.979346884], [2.5037023521, 48.9794694991], [2.5018765918, 48.9785348177], [2.500054114, 48.979822138], [2.5000551163, 48.9800019896], [2.498283177, 48.9846769083], [2.4959175365, 48.9885444783], [2.4915786731, 48.9901447839], [2.4839918569, 48.9965220839], [2.4839914104, 48.9965670432], [2.4857556239, 48.9993334315], [2.4868521991, 48.9990045142], [2.4879550192, 48.9988725431], [2.4886018053, 49.0002241327], [2.4889699543, 49.0011447039], [2.4891233228, 49.0019483597], [2.4890343259, 49.0021035457], [2.4881190291, 49.0022003578], [2.4911337285, 49.0100462424], [2.4933361864, 49.0157592441], [2.4940243874, 49.0171055609], [2.4985680844, 49.0241087299]]]}","49.0063195602,2.51384011981"
93029,Drancy,11,93,70269.0,66635.0,7.76,6620.0,2147.0,27180.8063628,1349.0,425.0,29368.479757,27180.8063628,175.585464852,2012.08792939,12338.0928909,25817.0,46.0,16846.0,29.0,12396.8999127,10688.9308342,12752.2354896,45979.4742935,6750.37138615,33687.9692084,4958.0,3.0,128.0,1263.0,3136.0,1139.0,428.0,1166.0,179.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.4422437738, 48.9372175549], [2.4424489291, 48.9373075379], [2.4470231309, 48.9392360929], [2.4483876263, 48.9395490329], [2.4490701771, 48.939548575], [2.4509245784, 48.939232446], [2.4533779712, 48.9384208231], [2.4549462075, 48.9377903786], [2.4554901092, 48.937340515], [2.4607999403, 48.9328771257], [2.4625060952, 48.9262705715], [2.4650560125, 48.922364692], [2.4690166573, 48.9191097973], [2.4741292298, 48.918474965], [2.4742647762, 48.9184296961], [2.4743334522, 48.9182501393], [2.4752840401, 48.9170807318], [2.4752144327, 48.9164059582], [2.4731685929, 48.916318741], [2.4724868057, 48.9161394798], [2.4682895611, 48.9144149662], [2.4537099259, 48.911620906], [2.4369469731, 48.9130478165], [2.4336631965, 48.9137697617], [2.4233014605, 48.9161403387], [2.4194179953, 48.917132391], [2.414987516, 48.9185820867], [2.4134884567, 48.9192573224], [2.4145135511, 48.9202002996], [2.4184746121, 48.9248707245], [2.4219596875, 48.9294514693], [2.4220286669, 48.9296307597], [2.4223017396, 48.9299899918], [2.4225063328, 48.9301249714], [2.4228487797, 48.9302597152], [2.4262585934, 48.9308408387], [2.4350731463, 48.9323260625], [2.4388255143, 48.9326827208], [2.4444176189, 48.9326773004], [2.4444853055, 48.9328574703], [2.4447613956, 48.93384526], [2.4429928395, 48.9362291353], [2.4422437738, 48.9372175549]]]}","48.9233704771,2.44422453566"
93066,Saint-Denis,11,93,111354.0,107762.0,12.36,11722.0,2541.0,43923.75665319999,2134.0,541.0,47402.9057239,43923.75665319999,360.629944266,3118.51912635,10081.7297551,39469.0,39.0,14621.5,38.0,86933.4930142,81814.5950394,75484.3235333,75525.9696994,12787.5480356,54835.040902199995,10603.0,7.0,332.0,1380.0,7835.0,1926.0,1049.0,2369.0,930.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.365846786, 48.9016094651], [2.3600520357, 48.9016110185], [2.3518739448, 48.9015220769], [2.3518047259, 48.9021512223], [2.3513975496, 48.9076788861], [2.3452507045, 48.9139253093], [2.339387712, 48.9197313981], [2.3374105635, 48.9208994633], [2.3359098577, 48.9216186884], [2.333114548, 48.9228316056], [2.3328418223, 48.9229218158], [2.3329771385, 48.9230115998], [2.333114608, 48.9231463604], [2.3392509563, 48.9292119297], [2.339729306, 48.9298054015], [2.3412293748, 48.9322768154], [2.3415024673, 48.9331308429], [2.3417073255, 48.9339844942], [2.3417064254, 48.9363208386], [2.3415026923, 48.9369950835], [2.3412292239, 48.9378937659], [2.3409575732, 48.9384327429], [2.3405473509, 48.9392416414], [2.3399680042, 48.9402528449], [2.3395250531, 48.9409491481], [2.3392523521, 48.9413532217], [2.3384331863, 48.9424323386], [2.3383653744, 48.9426118207], [2.3405483961, 48.9437893185], [2.3411622859, 48.9441488092], [2.3410936857, 48.9442833242], [2.339252393, 48.9455411734], [2.3391841232, 48.9455416964], [2.3386384999, 48.9451816735], [2.3381615721, 48.9450027825], [2.3374100329, 48.9447324439], [2.3372052495, 48.9447322111], [2.3365229291, 48.9451367097], [2.3365233653, 48.945316568], [2.3369330199, 48.9456317839], [2.3393889495, 48.9474735761], [2.3396616688, 48.9476081717], [2.3419807727, 48.947113731], [2.3443686592, 48.9465746578], [2.3442313068, 48.9459902751], [2.3445052557, 48.9458110184], [2.3446409859, 48.9457658973], [2.3456652182, 48.9463946921], [2.3458014173, 48.9465294278], [2.3459379481, 48.9465292735], [2.3481336417, 48.9471581374], [2.3485431423, 48.9473833841], [2.3499772197, 48.948326416], [2.3510689512, 48.9491353835], [2.3515121974, 48.9498320221], [2.3518192414, 48.9503930311], [2.352024292, 48.9504831677], [2.352297129, 48.950392916], [2.3603665151, 48.9478445315], [2.3654618107, 48.9475154965], [2.3662810107, 48.9475144341], [2.371479565, 48.9473340697], [2.3717520578, 48.9469290258], [2.3840281981, 48.9436357375], [2.3843012442, 48.9436353417], [2.3860069685, 48.944048765], [2.3875952954, 48.9445793692], [2.3886012569, 48.9449460129], [2.3899938776, 48.9459872734], [2.3928504977, 48.9477005026], [2.3944136882, 48.9482947347], [2.3976486309, 48.9486068926], [2.3985093448, 48.9480869389], [2.3984409524, 48.9478617777], [2.3982353671, 48.9474578721], [2.3961188817, 48.9454814179], [2.3952311067, 48.9448078823], [2.3842619189, 48.9366936007], [2.3776067423, 48.9317302441], [2.3771977282, 48.931236209], [2.3754222344, 48.9282620129], [2.3746688413, 48.923948676], [2.3747362196, 48.9236792394], [2.3737822761, 48.9234548299], [2.3690435547, 48.9239506623], [2.3670748512, 48.9208763785], [2.3664000377, 48.9177954126], [2.3658854311, 48.9110910872], [2.3659857194, 48.9072263968], [2.3659844047, 48.9058783256], [2.365846786, 48.9016094651]]]}","48.9296428406,2.35946866985"
94037,Gentilly,11,94,17442.0,16892.0,1.18,1248.0,592.0,8445.25430042,256.0,116.0,9141.00585865,8445.25430042,121.58170864200001,574.169849589,1919.00321652,7423.0,57.0,19913.809523800002,20.0,8729.14142701,8022.68598411,8137.70437155,12193.7007952,1402.89511471,9214.6356714,1631.0,4.0,56.0,147.0,1250.0,203.0,174.0,340.0,103.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.3290632573, 48.8137833468], [2.3308771587, 48.8159088699], [2.3318980606, 48.8170109296], [2.3321449384, 48.8169817298], [2.3403197792, 48.8163858509], [2.3437673046, 48.8157968384], [2.3439025047, 48.8157670013], [2.3440365805, 48.8157182708], [2.3459582659, 48.8160363878], [2.3563285236, 48.815957758], [2.3564647458, 48.8159548937], [2.3560981554, 48.8155338073], [2.3512512693, 48.8118147284], [2.3502964959, 48.8110639512], [2.349443453, 48.8102381708], [2.3465041579, 48.8072514543], [2.3457812446, 48.8064821179], [2.3452642926, 48.8059027772], [2.344862029, 48.805407706], [2.3436877653, 48.8059939645], [2.3425118982, 48.806597291], [2.3411905328, 48.8109556581], [2.3343582325, 48.8130178851], [2.3327803739, 48.813088236], [2.3305485349, 48.8135011704], [2.3290632573, 48.8137833468]]]}","48.8129348783,2.34310649122"
78575,Saint-Rémy-lès-Chevreuse,11,78,7800.0,7826.0,9.65,283.0,490.0,3034.10733549,61.0,104.0,3372.20666312,3034.10733549,115.66555945200001,222.43376817700002,2211.46574973,2952.0,81.0,32875.0,5.0,2247.52436146,1905.69131321,2035.30999148,4727.44996185,308.678047465,3601.25981553,624.0,4.0,19.0,36.0,438.0,85.0,127.0,102.0,27.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.0665609477, 48.7176132364], [2.0683246709, 48.7181109475], [2.0693366895, 48.7193718376], [2.0696042223, 48.7202266417], [2.0704619973, 48.7213738805], [2.0711167312, 48.7221678312], [2.0721688878, 48.7232437095], [2.0723728166, 48.7232434958], [2.0723066698, 48.7230639834], [2.0722222532, 48.7196263762], [2.0728171836, 48.7160537183], [2.0732362768, 48.7138073377], [2.073371386, 48.7138533618], [2.075132291, 48.7148906494], [2.0765542482, 48.7158821112], [2.0778395191, 48.7169192721], [2.0795298301, 48.718270767], [2.0831835024, 48.7211547746], [2.0835233491, 48.7211555861], [2.0898472562, 48.7196856491], [2.0914796939, 48.7191503], [2.0951680304, 48.7177193528], [2.1038140488, 48.7153892603], [2.1040063393, 48.7156695464], [2.104751665, 48.7161203882], [2.1055362493, 48.7165814138], [2.1065022, 48.7170096116], [2.1076946479, 48.7177075426], [2.1081897079, 48.7173739355], [2.1090324225, 48.7167406945], [2.1099898748, 48.7159140136], [2.1104845408, 48.7148032347], [2.1103286615, 48.7143784127], [2.108638731, 48.7124876624], [2.1038415199, 48.707130317], [2.0969343193, 48.7027480424], [2.09633215, 48.7009489763], [2.0961320179, 48.7001846817], [2.0967897104, 48.6975118402], [2.0977877866, 48.6944799629], [2.0978580419, 48.6940307406], [2.094188774, 48.6946973504], [2.0902790744, 48.6944175307], [2.0857970429, 48.6925257733], [2.0822157939, 48.6858544635], [2.0820816165, 48.6854495481], [2.0802477985, 48.6856710915], [2.0758092734, 48.6872981818], [2.07064608, 48.6892450862], [2.0669037005, 48.6895154025], [2.0650167843, 48.6882880769], [2.0663804342, 48.687168068], [2.0665170302, 48.6868983827], [2.0651619313, 48.6864011287], [2.0649581623, 48.6864004306], [2.0556584938, 48.6864242981], [2.0556574452, 48.6867831978], [2.0581000465, 48.6870139021], [2.0587073818, 48.6876897378], [2.05856914, 48.6880484535], [2.0575430592, 48.6895749248], [2.0563789339, 48.6913692486], [2.0556931851, 48.6926267395], [2.0541141453, 48.695867766], [2.0537706955, 48.6966755018], [2.0538351229, 48.6971698446], [2.0561137131, 48.7014677616], [2.0589592409, 48.7041141024], [2.0625999659, 48.7089658995], [2.063205765, 48.7098206856], [2.0665617511, 48.717568268], [2.0665609477, 48.7176132364]]]}","48.7038555843,2.07948699637"
91377,Massy,11,91,49924.0,43006.0,9.43,4761.0,1252.0,21524.2302707,964.0,266.0,22947.804774599997,21524.2302707,456.136769603,967.437734333,8758.30072507,19768.0,65.0,22511.0,15.0,30121.716527700002,28367.196390099998,27029.8394061,33058.5964237,2951.40730704,26476.622541099998,3453.0,5.0,103.0,273.0,2467.0,572.0,605.0,735.0,332.0,"{""type"": ""Polygon"", ""coordinates"": [[[2.2668375419, 48.7182769487], [2.2661318269, 48.7185829275], [2.261020753, 48.7213658219], [2.2575533564, 48.7233411165], [2.2507554777, 48.7262218955], [2.249810169, 48.7264408235], [2.2475000831, 48.7268328387], [2.2404293882, 48.7271802153], [2.2355232583, 48.7275131744], [2.2354559869, 48.7275577168], [2.2357939908, 48.7278728953], [2.2381770195, 48.7314383115], [2.2389207383, 48.7347062989], [2.2380217218, 48.7355595469], [2.238565068, 48.7357851802], [2.2431493539, 48.7369764331], [2.2507677606, 48.7378780755], [2.2554563036, 48.7378930184], [2.2607215803, 48.7378007173], [2.2676618101, 48.7380242855], [2.2707262852, 48.738458593], [2.2743375909, 48.7406464794], [2.2745120558, 48.740715898], [2.2748212769, 48.7400908594], [2.2802904545, 48.7330110786], [2.2896379243, 48.7355531644], [2.2939788827, 48.7369218002], [2.2973331319, 48.7381657439], [2.2983820323, 48.7386378284], [2.3001918164, 48.7374341934], [2.3017756394, 48.7350212448], [2.3033980887, 48.7307205406], [2.3038400608, 48.729489965], [2.3041612148, 48.7285501064], [2.3039317378, 48.7266913877], [2.3031585336, 48.7239111427], [2.3017360141, 48.7196771526], [2.300107326, 48.7160364677], [2.2944063541, 48.7121243809], [2.2939306457, 48.7121242651], [2.2900454793, 48.7125725336], [2.2737426004, 48.7162494954], [2.2681711828, 48.7176851893], [2.2668375419, 48.7182769487]]]}","48.7273690549,2.27501219878"
